C_uM,compartment,pH,Kd,E_free,occupancy,v_rel
0.01,ER,7.4,0.5,0.9933481809959853,0.006651819004014681,0.9933481809959853
0.01,Lysosome,4.8,81.09050486794658,0.9998781978886555,0.00012180211134449337,0.9998781978886555
0.012328467394420659,ER,7.4,0.5,0.9918036004564174,0.008196399543582644,0.9918036004564174
0.012328467394420659,Lysosome,4.8,81.09050486794658,0.9998498408710006,0.0001501591289994053,0.9998498408710005
0.01519911082952934,ER,7.4,0.5,0.9899015987884378,0.010098401211562247,0.9899015987884378
0.01519911082952934,Lysosome,4.8,81.09050486794658,0.9998148832010259,0.0001851167989741498,0.9998148832010257
0.01873817422860384,ER,7.4,0.5,0.9875601171856803,0.012439882814319736,0.9875601171856803
0.01873817422860384,Lysosome,4.8,81.09050486794658,0.9997717890749627,0.00022821092503733098,0.9997717890749627
0.023101297000831605,ER,7.4,0.5,0.9846786012818292,0.015321398718170842,0.984678601281829
0.023101297000831605,Lysosome,4.8,81.09050486794658,0.9997186656727308,0.0002813343272691782,0.9997186656727308
0.02848035868435802,ER,7.4,0.5,0.9811340173111582,0.018865982688841765,0.9811340173111581
0.02848035868435802,Lysosome,4.8,81.09050486794658,0.9996531803347324,0.000346819665267617,0.9996531803347324
0.03511191734215131,ER,7.4,0.5,0.9767761126178905,0.023223887382109454,0.9767761126178905
0.03511191734215131,Lysosome,4.8,81.09050486794658,0.9995724586126968,0.00042754138730316527,0.9995724586126967
0.04328761281083057,ER,7.4,0.5,0.9714218375002948,0.02857816249970524,0.9714218375002946
0.04328761281083057,Lysosome,4.8,81.09050486794658,0.9994729588239437,0.0005270411760562865,0.9994729588239437
0.0533669923120631,ER,7.4,0.5,0.9648488773038824,0.03515112269611764,0.9648488773038822
0.0533669923120631,Lysosome,4.8,81.09050486794658,0.99935031776333,0.0006496822366699462,0.99935031776333
0.06579332246575682,ER,7.4,0.5,0.956788312052257,0.043211687947742994,0.9567883120522569
0.06579332246575682,Lysosome,4.8,81.09050486794658,0.9991991610472013,0.0008008389527986992,0.9991991610472013
0.08111308307896872,ER,7.4,0.5,0.9469165510489176,0.05308344895108241,0.9469165510489176
0.08111308307896872,Lysosome,4.8,81.09050486794658,0.9990128701426713,0.000987129857328739,0.9990128701426711
0.1,ER,7.4,0.5,0.9348469228349535,0.06515307716504648,0.9348469228349535
0.1,Lysosome,4.8,81.09050486794658,0.998783296433956,0.0012167035660439751,0.9987832964339559
0.12328467394420659,ER,7.4,0.5,0.9201217023338267,0.07987829766617327,0.9201217023338266
0.12328467394420659,Lysosome,4.8,81.09050486794658,0.9985004106561775,0.0014995893438225494,0.9985004106561773
0.1519911082952934,ER,7.4,0.5,0.9022060300145855,0.09779396998541445,0.9022060300145855
0.1519911082952934,Lysosome,4.8,81.09050486794658,0.9981518736504498,0.0018481263495502276,0.9981518736504498
0.1873817422860384,ER,7.4,0.5,0.8804862782921368,0.11951372170786323,0.8804862782921367
0.1873817422860384,Lysosome,4.8,81.09050486794658,0.9977225116375834,0.002277488362416591,0.9977225116375834
0.23101297000831603,ER,7.4,0.5,0.8542771669190687,0.14572283308093126,0.8542771669190687
0.23101297000831603,Lysosome,4.8,81.09050486794658,0.9971936760700046,0.002806323929995358,0.9971936760700046
0.2848035868435802,ER,7.4,0.5,0.8228445795566732,0.17715542044332677,0.8228445795566731
0.2848035868435802,Lysosome,4.8,81.09050486794658,0.9965424646446053,0.0034575353553947252,0.9965424646446052
0.3511191734215131,ER,7.4,0.5,0.7854547416474512,0.21454525835254878,0.7854547416474511
0.3511191734215131,Lysosome,4.8,81.09050486794658,0.995740776355504,0.004259223644496046,0.995740776355504
0.43287612810830595,ER,7.4,0.5,0.741464756638372,0.25853524336162803,0.741464756638372
0.43287612810830595,Lysosome,4.8,81.09050486794658,0.9947541697683988,0.0052458302316011896,0.9947541697683988
0.533669923120631,ER,7.4,0.5,0.6904721965617675,0.3095278034382325,0.6904721965617675
0.533669923120631,Lysosome,4.8,81.09050486794658,0.9935404904226388,0.006459509577361189,0.9935404904226388
0.6579332246575682,ER,7.4,0.5,0.6325358302971597,0.36746416970284035,0.6325358302971597
0.6579332246575682,Lysosome,4.8,81.09050486794658,0.9920482311152554,0.007951768884744581,0.9920482311152553
0.8111308307896873,ER,7.4,0.5,0.5684515722974136,0.4315484277025864,0.5684515722974136
0.8111308307896873,Lysosome,4.8,81.09050486794658,0.9902145889134459,0.009785411086554063,0.9902145889134458
1.0,ER,7.4,0.5,0.5,0.5,0.5
1.0,Lysosome,4.8,81.09050486794658,0.9879631868110437,0.01203681318895633,0.9879631868110436
1.232846739442066,ER,7.4,0.5,0.4299848709933114,0.5700151290066886,0.42998487099331134
1.232846739442066,Lysosome,4.8,81.09050486794658,0.9852014385754373,0.014798561424562706,0.9852014385754372
1.5199110829529332,ER,7.4,0.5,0.3618555930489855,0.6381444069510145,0.3618555930489855
1.5199110829529332,Lysosome,4.8,81.09050486794658,0.9818175562587115,0.018182443741288523,0.9818175562587115
1.873817422860385,ER,7.4,0.5,0.2989125593074029,0.7010874406925971,0.2989125593074029
1.873817422860385,Lysosome,4.8,81.09050486794658,0.9776772362653077,0.02232276373469233,0.9776772362653077
2.31012970008316,ER,7.4,0.5,0.24347438863543958,0.7565256113645604,0.24347438863543958
2.31012970008316,Lysosome,4.8,81.09050486794658,0.9726201186778809,0.027379881322119104,0.9726201186778808
2.848035868435802,ER,7.4,0.5,0.1964995264024545,0.8035004735975455,0.1964995264024545
2.848035868435802,Lysosome,4.8,81.09050486794658,0.9664562043335962,0.03354379566640375,0.9664562043335962
3.511191734215131,ER,7.4,0.5,0.15777989171885864,0.8422201082811414,0.15777989171885864
3.511191734215131,Lysosome,4.8,81.09050486794658,0.9589625445943213,0.04103745540567871,0.9589625445943213
4.328761281083057,ER,7.4,0.5,0.1264165656698566,0.8735834343301434,0.1264165656698566
4.328761281083057,Lysosome,4.8,81.09050486794658,0.9498806988483182,0.05011930115168184,0.949880698848318
5.336699231206313,ER,7.4,0.5,0.10125647727881093,0.8987435227211891,0.10125647727881093
5.336699231206313,Lysosome,4.8,81.09050486794658,0.9389156890091215,0.06108431099087852,0.9389156890091214
6.5793322465756825,ER,7.4,0.5,0.08116231497398241,0.9188376850260176,0.08116231497398241
6.5793322465756825,Lysosome,4.8,81.09050486794658,0.9257374617406882,0.07426253825931184,0.9257374617406882
8.111308307896872,ER,7.4,0.5,0.06513433671661017,0.9348656632833898,0.06513433671661017
8.111308307896872,Lysosome,4.8,81.09050486794658,0.9099861686604811,0.0900138313395189,0.909986168660481
10.0,ER,7.4,0.5,0.0523431780746364,0.9476568219253636,0.05234317807463639
10.0,Lysosome,4.8,81.09050486794658,0.8912828261910661,0.10871717380893386,0.8912828261910661
12.32846739442066,ER,7.4,0.5,0.04212091154309494,0.9578790884569051,0.04212091154309494
12.32846739442066,Lysosome,4.8,81.09050486794658,0.8692470014740366,0.13075299852596345,0.8692470014740366
15.199110829529348,ER,7.4,0.5,0.03393730851316157,0.9660626914868384,0.03393730851316157
15.199110829529348,Lysosome,4.8,81.09050486794658,0.8435229104365476,0.1564770895634524,0.8435229104365476
18.73817422860385,ER,7.4,0.5,0.0273739389266634,0.9726260610733366,0.0273739389266634
18.73817422860385,Lysosome,4.8,81.09050486794658,0.813814487685363,0.18618551231463698,0.813814487685363
23.101297000831604,ER,7.4,0.5,0.022101012399092568,0.9778989876009074,0.022101012399092568
23.101297000831604,Lysosome,4.8,81.09050486794658,0.7799283965078061,0.2200716034921939,0.7799283965078061
28.48035868435802,ER,7.4,0.5,0.017858280069594556,0.9821417199304054,0.017858280069594556
28.48035868435802,Lysosome,4.8,81.09050486794658,0.7418215442818621,0.2581784557181379,0.7418215442818621
35.11191734215131,ER,7.4,0.5,0.014439867208000834,0.9855601327919992,0.014439867208000834
35.11191734215131,Lysosome,4.8,81.09050486794658,0.6996467414387055,0.30035325856129447,0.6996467414387055
43.287612810830616,ER,7.4,0.5,0.011682435356092924,0.9883175646439071,0.011682435356092924
43.287612810830616,Lysosome,4.8,81.09050486794658,0.6537874651995139,0.3462125348004861,0.6537874651995139
53.366992312063125,ER,7.4,0.5,0.009456005762615405,0.9905439942373846,0.009456005762615405
53.366992312063125,Lysosome,4.8,81.09050486794658,0.6048714913187183,0.3951285086812817,0.6048714913187183
65.79332246575683,ER,7.4,0.5,0.0076568530091947196,0.9923431469908053,0.0076568530091947196
65.79332246575683,Lysosome,4.8,81.09050486794658,0.5537547378263525,0.44624526217364746,0.5537547378263525
81.11308307896873,ER,7.4,0.5,0.0062019900024239405,0.9937980099975761,0.0062019900024239405
81.11308307896873,Lysosome,4.8,81.09050486794658,0.5014716612112267,0.49852833878877334,0.5014716612112267
100.0,ER,7.4,0.5,0.005024871865956015,0.994975128134044,0.005024871865956015
100.0,Lysosome,4.8,81.09050486794658,0.44915618206177044,0.5508438179382296,0.44915618206177044
